Variable,HR,Lower95,Upper95,p_value
Age,0.9863608161374539,0.9494876912871926,1.0246658998732272,0.47989556858505944
APACHEII,0.9653214844309794,0.8775592116589302,1.0618606196868208,0.4679984488790674
TLC_D1,0.9999682854213435,0.9998611169542473,1.0000754653751154,0.5619309503566557
TrialArm_num,0.9710590141890283,0.24210265661072564,3.89485857874718,0.9669456529765298
Gender_binary,1.8973348168808477,0.20885143723313643,17.23655558726087,0.5694441159023951
